method_id,name,phase,origin,best_for,steps,outputs,quality_gate
M01,Structured Brainstorming Matrix,pitching,"academic design thinking + industry discovery","vague or early-stage research topics","Select 3-5 brainstorming methods from brainstorming-methods.csv; run divergent exploration; cluster angles; keep 2-3 research directions","pitch-exploration.md with directions, tradeoffs, assumptions","At least 3 methods used; every direction traces to method output"
M02,BDD Research Specification,grinding,"BDD + hypothesis-driven research design","turning broad direction into testable research questions","Convert directions into GIVEN/WHEN/THEN questions; define in-scope/out-of-scope; define success and failure conditions","research-spec.md","Every RQ traceable to pitch; every RQ testable and scoped"
M03,Engineering Lens Canvas,grinding,"systems engineering + applied R&D review","technical research, implementation-heavy topics, engineering decisions","Cover first principles, state of art, field methods, architecture, data, metrics, failure modes, cost/latency/complexity, alternatives, open unknowns","Engineering Lens section in research-spec.md","Technical report must let an engineer plan implementation without asking basic follow-up"
M04,Source Taxonomy Planning,planning,"systematic review + competitive intelligence planning","mapping questions to source domains","Map every RQ to source types from source-taxonomy.csv; assign query families; identify required source diversity","research-plan.md with source plan","No RQ left unassigned; at least 2 source types for important RQs"
M05,Multi-Lens Parallel Research,researching,"systematic literature review + OSINT + market intelligence","collecting evidence across many domains","Run internet, social, academic, news, and market lenses in parallel; cite every finding; produce findings per lens","5 findings.md files","Every finding cited; no silent empty result; queries attempted recorded"
M06,Implementation Evidence Harvest,researching,"engineering due diligence + field practice analysis","technical topics needing build guidance","Collect GitHub/repos, docs, benchmarks, datasets, model cards, standards, patents, commercial products, deployment case studies","implementation-evidence section inside findings","Must include implementable artifacts or explicitly state none found"
M07,Cross-Source Synthesis,synthesizing,"evidence synthesis + consulting report writing","combining many findings into one narrative","Build claim registry; deduplicate sources; map claims to RQs; resolve contradictions; assign confidence","research-report.md/docx + references.json","No claim without citation; contradictions explicit"
M08,Expert Technical Report,synthesizing,"engineering design review + technical feasibility report","deep technical reports meant for implementation","Write executive summary, first principles, state of art, methods in field, comparison matrix, architecture, roadmap, data strategy, evaluation protocol, failure modes, alternatives, gaps, recommendation","technical-deep-dive.md/docx or expanded research-report","Reader can understand what to build, why, how, risks, and alternatives"
M09,Falsification Validation,validating,"Popperian falsification + evidence audit","checking high-stakes claims","Extract key claims; seek counter-evidence; verify original sources; grade Confirmed/Refuted/Inconclusive","validation-report.md","At least one refutation-seeking method per key claim"
M10,Quality Reflection Rubric,reflecting,"peer review + research QA","deciding if report is good enough","Score confidence, coverage, source diversity, technical depth, alternatives, failure modes, implementation actionability","reflection-report.md","Fail triggers re-research unless user overrides"
M11,Research Knowledge Closure,closing,"knowledge management + post-project archive","finalizing reusable research","Verify artifacts, verdicts, advisor gates, memory update, and closeout summary","closeout-report.md + memory entities","No unresolved critical refutation; final artifacts exist"
